,IA_LABEL,IA_ID,IA_LEFT,IA_TOP,batch,article_id,paragraph_id,level,RECORDING_SESSION_LABEL,TRIAL_INDEX,trial,list,has_preview,article_ind
346,south-east,32,358,378,1,1,5,Adv,l9_491,36,34,9,0,6
347,51-year-old,64,358,606,2,1,5,Adv,l53_478,46,39,53,0,7
348,film-makers.,16,358,264,2,8,6,Adv,l53_478,65,56,53,0,10
349,post-genocide,32,358,378,2,8,6,Adv,l53_478,65,56,53,0,10
350,film-editing,95,358,834,2,8,6,Adv,l53_478,65,56,53,0,10
351,51-year-old,64,358,606,2,1,5,Adv,l49_471,8,7,49,0,1
352,film-makers.,16,358,264,2,8,6,Adv,l49_471,53,52,49,0,9
353,post-genocide,32,358,378,2,8,6,Adv,l49_471,53,52,49,0,9
354,film-editing,95,358,834,2,8,6,Adv,l49_471,53,52,49,0,9
355,51-year-old,64,358,606,2,1,5,Adv,l51_475,14,13,51,0,2
